timestamp (UTC),precipitation (mm),relativehumidity AVG (-),soilmoisture AVG (m3/m3),temperature AVG (degrees Celsius),temperature MAX (degrees Celsius),temperature MIN (degrees Celsius)
2020-06-25 00:00,0.0,0.9109999999999999,0.2873333333333333,15.341666666666667,15.5,15.0
2020-06-25 01:00,0.0,0.9176666666666667,0.2870833333333333,15.141666666666666,15.2,15.0
2020-06-25 02:00,0.0,0.9313333333333333,0.2871666666666666,14.900000000000004,15.0,14.8
2020-06-25 03:00,0.0,0.9364166666666667,0.287,14.633333333333331,14.8,14.5
2020-06-25 04:00,0.0,0.9443333333333334,0.287,14.816666666666665,15.2,14.6
2020-06-25 05:00,0.0,0.9430833333333334,0.28758333333333325,15.475,15.8,15.2
2020-06-25 06:00,0.0,0.9162500000000001,0.287,16.783333333333335,17.7,15.8
2020-06-25 07:00,0.0,0.888,0.28633333333333333,18.108333333333334,19.5,17.2
2020-06-25 08:00,0.0,0.8266666666666667,0.28516666666666673,19.416666666666664,20.2,18.9
2020-06-25 09:00,0.0,0.7825000000000001,0.2840833333333333,20.358333333333338,20.8,19.9
2020-06-25 10:00,0.0,0.747,0.28275,20.716666666666665,21.0,20.4
2020-06-25 11:00,0.0,0.7183333333333333,0.28125000000000006,21.041666666666668,21.5,20.6
2020-06-25 12:00,0.0,0.6910833333333333,0.28,21.308333333333334,21.6,20.8
2020-06-25 13:00,0.0,0.7094166666666667,0.27891666666666665,20.833333333333332,21.4,20.5
2020-06-25 14:00,0.0,0.73225,0.2784166666666667,20.183333333333334,20.7,19.6
2020-06-25 15:00,0.0,0.7784166666666666,0.278,18.433333333333334,19.5,17.5
2020-06-25 16:00,0.0,0.8548333333333334,0.278,15.616666666666667,17.2,14.3
2020-06-25 17:00,0.0,0.8921666666666667,0.27808333333333335,14.016666666666667,15.0,13.4
2020-06-25 18:00,0.0,0.8724166666666666,0.278,14.075000000000003,14.6,13.3
2020-06-25 19:00,0.0,0.8510833333333333,0.2779166666666667,14.95833333333333,15.7,14.6
2020-06-25 20:00,0.0,0.8802500000000001,0.27775000000000005,14.549999999999999,15.7,13.5
2020-06-25 21:00,0.0,0.89575,0.27758333333333335,13.508333333333333,13.8,13.2
2020-06-25 22:00,0.0,0.8937500000000002,0.27758333333333335,13.733333333333333,14.4,13.1
2020-06-25 23:00,0.0,0.9087500000000003,0.27725000000000005,13.350000000000001,14.2,12.9
2020-06-26 00:00,0.034,0.9068333333333333,0.27716666666666673,12.533333333333333,12.8,12.2
2020-06-26 01:00,0.017,0.9480833333333333,0.27716666666666673,11.025,11.8,10.6
2020-06-26 02:00,0.034,0.9376666666666665,0.2770833333333334,10.391666666666667,10.8,10.1
2020-06-26 03:00,0.034,0.9454166666666666,0.2774166666666667,9.916666666666666,10.2,9.4
2020-06-26 04:00,0.017,0.9648333333333334,0.27716666666666673,10.766666666666666,12.8,9.8
2020-06-26 05:00,0.0,0.9796666666666667,0.2770000000000001,14.633333333333335,16.3,13.1
2020-06-26 06:00,0.0,0.9115833333333333,0.2768333333333333,17.433333333333334,18.3,16.5
2020-06-26 07:00,0.0,0.8394166666666666,0.27599999999999997,19.01666666666667,19.8,18.1
2020-06-26 08:00,0.0,0.7636666666666666,0.2750833333333333,20.375,20.8,19.8
2020-06-26 09:00,0.0,0.7199166666666666,0.2736666666666667,20.916666666666668,21.6,20.5
2020-06-26 10:00,0.0,0.7206666666666667,0.27233333333333337,20.95,21.3,20.4
2020-06-26 11:00,0.0,0.69525,0.27058333333333334,21.566666666666666,22.0,20.8
2020-06-26 12:00,0.0,0.6973333333333332,0.2695833333333334,21.558333333333337,22.0,21.3
2020-06-26 13:00,0.0,0.7121666666666666,0.2683333333333333,20.941666666666666,21.2,20.5
2020-06-26 14:00,0.0,0.7400000000000001,0.26799999999999996,20.125,20.4,19.9
2020-06-26 15:00,0.0,0.7680833333333336,0.2678333333333333,18.758333333333333,19.8,17.4
2020-06-26 16:00,0.0,0.8507500000000001,0.2678333333333333,16.341666666666665,17.3,15.7
2020-06-26 17:00,0.0,0.8155833333333334,0.26766666666666666,16.816666666666666,17.0,16.2
2020-06-26 18:00,0.0,0.8582500000000001,0.2675,16.124999999999996,16.6,15.7
2020-06-26 19:00,0.0,0.8239166666666665,0.26733333333333337,17.00833333333333,17.2,16.9
2020-06-26 20:00,0.0,0.8341666666666666,0.26716666666666666,16.766666666666666,17.1,16.4
2020-06-26 21:00,0.0,0.8425000000000001,0.26699999999999996,16.266666666666666,16.5,16.0
2020-06-26 22:00,0.0,0.8786666666666666,0.26699999999999996,15.550000000000004,15.9,15.3
2020-06-26 23:00,0.0,0.8937500000000002,0.26699999999999996,15.241666666666662,15.3,15.2
2020-06-27 00:00,0.0,0.9099999999999998,0.26699999999999996,15.1,15.2,15.0
2020-06-27 01:00,0.0,0.9264166666666666,0.26699999999999996,14.91666666666667,15.0,14.9
2020-06-27 02:00,0.0,0.923,0.26699999999999996,14.875000000000002,14.9,14.8
2020-06-27 03:00,0.0,0.9320833333333334,0.26699999999999996,14.725,14.8,14.7
2020-06-27 04:00,0.0,0.9415833333333333,0.26699999999999996,14.891666666666666,15.2,14.8
2020-06-27 05:00,0.0,0.9446666666666667,0.26691666666666664,16.191666666666666,17.1,15.5
2020-06-27 06:00,0.0,0.9144166666666665,0.26625000000000004,17.158333333333335,18.1,16.5
2020-06-27 07:00,0.0,0.8573333333333334,0.26583333333333337,18.558333333333334,19.5,17.5
2020-06-27 08:00,0.0,0.8253333333333335,0.26475000000000004,19.875,20.3,19.4
2020-06-27 09:00,0.0,0.7890833333333332,0.26366666666666666,20.533333333333335,20.9,20.2
2020-06-27 10:00,0.0,0.7816666666666667,0.26233333333333336,20.916666666666668,21.4,20.5
2020-06-27 11:00,0.0,0.7726666666666668,0.2609166666666667,21.191666666666666,21.8,20.7
2020-06-27 12:00,0.0,0.7445833333333333,0.2598333333333333,21.575000000000003,21.9,20.7
2020-06-27 13:00,0.0,0.7493333333333333,0.25899999999999995,21.391666666666666,21.7,21.1
2020-06-27 14:00,0.0,0.7524166666666666,0.25808333333333333,20.666666666666664,21.2,20.2
