iter	Passed	Remaining
141	3979	24045
142	4007	24018
143	4038	24004
144	4063	23960
145	4091	23931
146	4118	23900
147	4146	23871
148	4177	23858
149	4203	23821
150	4230	23783
151	4257	23751
152	4283	23714
153	4308	23669
154	4335	23636
155	4362	23600
156	4389	23567
157	4415	23532
158	4442	23495
159	4470	23469
160	4495	23426
161	4521	23387
162	4547	23351
163	4572	23306
164	4597	23266
165	4622	23224
166	4646	23176
167	4668	23121
168	4692	23075
169	4717	23030
170	4743	22995
171	4767	22950
172	4790	22898
173	4813	22852
174	4839	22815
175	4863	22771
176	4887	22724
177	4911	22679
178	4933	22628
179	4957	22583
180	4981	22541
181	5007	22504
182	5029	22455
183	5053	22410
184	5076	22362
185	5098	22314
186	5122	22271
187	5145	22223
188	5167	22173
189	5191	22131
190	5214	22084
191	5237	22041
192	5259	21992
193	5283	21950
194	5308	21913
195	5332	21873
196	5359	21846
197	5385	21814
198	5411	21779
199	5435	21743
200	5461	21710
201	5487	21679
202	5513	21645
203	5538	21612
204	5564	21577
205	5590	21548
206	5614	21510
207	5641	21480
208	5670	21459
209	5697	21432
210	5730	21428
211	5761	21416
212	5789	21392
213	5817	21365
214	5844	21339
215	5870	21307
216	5891	21259
217	5915	21220
218	5937	21174
219	5961	21135
220	5983	21092
221	6006	21050
222	6030	21011
223	6057	20986
224	6083	20953
225	6106	20912
226	6131	20880
227	6160	20859
228	6187	20832
229	6212	20796
230	6238	20767
231	6263	20733
232	6288	20699
233	6313	20665
234	6337	20631
235	6361	20595
236	6386	20559
237	6413	20532
238	6435	20491
239	6461	20461
240	6484	20421
241	6507	20383
242	6530	20344
243	6554	20307
244	6580	20279
245	6603	20240
246	6628	20208
247	6652	20171
248	6677	20139
249	6706	20118
250	6732	20091
251	6758	20060
252	6780	20019
253	6805	19987
254	6827	19948
255	6854	19921
256	6877	19883
257	6903	19854
258	6926	19817
259	6950	19781
260	6975	19749
261	7053	19867
262	7090	19869
263	7113	19832
264	7135	19790
265	7158	19753
266	7180	19712
267	7203	19674
268	7225	19634
269	7251	19605
270	7274	19567
271	7296	19529
272	7320	19494
273	7344	19459
274	7368	19424
275	7392	19391
276	7415	19354
277	7439	19320
278	7462	19284
279	7485	19247
280	7507	19210
281	7530	19172
282	7556	19144
283	7578	19105
284	7604	19077
285	7627	19042
286	7661	19033
287	7696	19028
288	7731	19022
289	7774	19034
290	7820	19053
291	7861	19062
292	7898	19057
293	7930	19045
294	7967	19041
295	8001	19031
296	8034	19017
297	8072	19015
298	8105	19002
299	8141	18997
300	8178	18993
301	8216	18991
302	8254	18988
303	8293	18988
304	8330	18983
305	8368	18980
306	8412	18989
307	8459	19006
308	8502	19012
309	8542	19012
310	8581	19012
311	8620	19008
312	8658	19004
313	8699	19006
314	8739	19004
315	8778	19001
316	8816	18995
317	8861	19004
318	8898	18997
319	8941	19000
320	8989	19016
321	9037	19029
322	9078	19027
323	9122	19033
324	9164	19032
325	9208	19038
326	9250	19039
327	9300	19055
328	9357	19085
329	9397	19078
330	9440	19081
331	9480	19075
332	9517	19063
333	9554	19052
334	9591	19039
335	9629	19030
336	9668	19020
337	9708	19014
338	9751	19014
339	9790	19005
340	9833	19004
341	9875	19000
342	9919	19000
343	9967	19007
344	10009	19003
345	10055	19006
346	10098	19004
347	10146	19009
348	10187	19002
349	10232	19003
350	10274	18996
351	10318	18996
352	10359	18986
353	10402	18983
354	10446	18980
355	10484	18967
356	10526	18959
357	10563	18942
358	10601	18928
359	10636	18908
360	10671	18888
361	10710	18875
362	10746	18858
363	10786	18846
364	10824	18832
365	10861	18815
366	10900	18801
367	10938	18785
368	10977	18771
369	11017	18759
370	11054	18741
371	11089	18720
372	11123	18698
373	11154	18670
374	11187	18646
375	11224	18627
376	11259	18606
377	11299	18592
378	11344	18588
379	11387	18579
380	11425	18563
381	11464	18548
382	11507	18538
383	11552	18531
384	11594	18520
385	11635	18508
386	11683	18505
387	11727	18497
388	11762	18475
389	11810	18472
390	11867	18483
391	11916	18482
392	11953	18463
393	11999	18456
394	12040	18441
395	12082	18428
396	12124	18415
397	12159	18391
398	12196	18371
399	12230	18346
400	12262	18316
401	12295	18290
402	12331	18267
403	12364	18241
404	12398	18214
405	12431	18187
406	12464	18160
407	12509	18150
408	12570	18163
409	12618	18158
410	12667	18153
411	12716	18149
412	12766	18144
413	12805	18125
414	12861	18130
415	12927	18148
416	12965	18126
417	13009	18113
418	13053	18100
419	13095	18084
420	13138	18069
421	13176	18048
422	13220	18033
423	13260	18013
424	13297	17990
425	13332	17964
426	13373	17946
427	13408	17919
428	13443	17892
429	13476	17864
430	13522	17851
431	13557	17826
432	13592	17799
433	13628	17774
434	13678	17766
435	13725	17754
436	13768	17737
437	13888	17820
438	13945	17820
439	13999	17817
440	14041	17799
441	14082	17778
442	14121	17755
443	14158	17730
444	14198	17707
445	14234	17680
446	14269	17653
447	14306	17627
448	14339	17597
449	14373	17567
450	14410	17541
451	14445	17513
452	14478	17482
453	14508	17449
454	14539	17415
455	14573	17386
456	14606	17355
457	14637	17321
458	14674	17296
459	14706	17263
460	14736	17229
461	14766	17195
462	14799	17164
463	14839	17142
464	14877	17117
465	14913	17089
466	14956	17069
467	14999	17050
468	15039	17027
469	15076	17001
470	15122	16984
471	15159	16958
472	15193	16928
473	15228	16898
474	15272	16879
475	15307	16851
476	15342	16822
477	15377	16793
478	15419	16771
479	15453	16741
480	15488	16711
481	15521	16681
482	15554	16649
483	15591	16621
484	15626	16593
485	15663	16566
486	15694	16532
487	15727	16501
488	15764	16473
489	15801	16445
490	15837	16418
491	15878	16394
492	15919	16371
493	15955	16343
494	15995	16318
495	16028	16286
496	16063	16257
497	16097	16226
498	16134	16199
499	16169	16169
500	16207	16143
501	16244	16114
502	16278	16084
503	16312	16053
504	16349	16026
505	16396	16007
506	16443	15989
507	16497	15978
508	16557	15972
509	16612	15961
510	16667	15949
511	16700	15917
512	16738	15890
513	16775	15861
514	16814	15834
515	16853	15808
516	16898	15786
517	16942	15765
518	16979	15736
519	17013	15704
520	17046	15672
521	17079	15640
522	17111	15606
523	17143	15573
524	17176	15540
525	17209	15508
526	17243	15477
527	17278	15445
528	17311	15413
529	17347	15383
530	17385	15355
531	17421	15325
532	17465	15302
533	17500	15272
534	17532	15238
535	17567	15207
536	17602	15177
537	17638	15147
538	17670	15113
539	17703	15080
540	17735	15047
541	17767	15013
542	17799	14980
543	17830	14946
544	17863	14913
545	17895	14879
546	17926	14845
547	17959	14813
548	17992	14780
549	18026	14748
550	18065	14721
551	18102	14691
552	18149	14670
553	18186	14641
554	18229	14616
555	18266	14586
556	18299	14554
557	18330	14519
558	18363	14486
559	18400	14457
560	18432	14424
561	18466	14391
562	18496	14356
563	18531	14325
564	18566	14294
565	18597	14260
566	18629	14227
567	18661	14193
568	18691	14158
569	18725	14125
570	18758	14093
571	18791	14060
572	18822	14026
573	18853	13992
574	18884	13957
575	18915	13923
576	18951	13893
577	18984	13860
578	19016	13827
579	19047	13792
580	19081	13760
581	19113	13727
582	19143	13692
583	19175	13659
584	19209	13627
585	19240	13593
586	19272	13559
587	19303	13525
588	19338	13494
589	19369	13460
590	19399	13425
591	19428	13390
592	19462	13357
593	19495	13325
594	19527	13292
595	19561	13260
596	19595	13227
597	19627	13194
598	19658	13160
599	19687	13125
600	19721	13092
601	19758	13063
602	19789	13028
603	19821	12995
604	19853	12962
605	19887	12929
606	19926	12901
607	19958	12868
608	19990	12834
609	20023	12801
610	20056	12769
611	20092	12738
612	20131	12709
613	20166	12677
614	20202	12647
615	20244	12620
616	20284	12591
617	20325	12563
618	20366	12535
619	20409	12509
620	20451	12481
621	20491	12452
622	20526	12421
623	20559	12388
624	20592	12355
625	20628	12324
626	20662	12292
627	20699	12261
628	20733	12229
629	20767	12196
630	20804	12166
631	20843	12136
632	20888	12110
633	20927	12081
634	20965	12051
635	21007	12022
636	21052	11996
637	21188	12022
638	21291	12028
639	21337	12002
640	21370	11968
641	21408	11937
642	21440	11903
643	21473	11870
644	21508	11837
645	21540	11804
646	21571	11769
647	21608	11737
648	21639	11703
649	21670	11668
650	21702	11634
651	21738	11602
652	21770	11568
653	21804	11535
654	21842	11504
655	21878	11472
656	21913	11440
657	21950	11408
658	21986	11376
659	22023	11345
660	22062	11314
661	22095	11281
662	22132	11249
663	22164	11215
664	22202	11184
665	22240	11153
666	22280	11123
667	22316	11091
668	22355	11060
669	22391	11028
670	22427	10996
671	22463	10964
672	22499	10932
673	22531	10898
674	22572	10868
675	22605	10834
676	22637	10800
677	22667	10765
678	22699	10731
679	22730	10696
680	22763	10662
681	22794	10628
682	22824	10593
683	22858	10560
684	22889	10525
685	22926	10493
686	22960	10460
687	22996	10428
688	23035	10397
689	23074	10366
690	23118	10338
691	23161	10308
692	23203	10279
693	23238	10246
694	23274	10213
695	23315	10183
696	23347	10149
697	23378	10115
698	23410	10081
699	23446	10048
700	23477	10013
701	23506	9978
702	23539	9944
703	23568	9909
704	23601	9875
705	23634	9842
706	23668	9808
707	23700	9774
708	23733	9740
709	23765	9706
710	23796	9672
711	23829	9638
712	23859	9604
713	23892	9570
714	23930	9538
715	23975	9509
716	24019	9480
717	24055	9448
718	24093	9416
719	24138	9387
720	24176	9355
721	24211	9322
722	24243	9288
723	24276	9254
724	24309	9220
725	24342	9186
726	24372	9152
727	24406	9118
728	24439	9085
729	24469	9050
730	24498	9015
731	24529	8980
732	24566	8948
733	24596	8913
734	24628	8879
735	24658	8845
736	24691	8811
737	24731	8779
738	24769	8748
739	24812	8717
740	24854	8687
741	24891	8655
742	24929	8623
743	24974	8593
744	25017	8562
745	25056	8531
746	25091	8498
747	25122	8463
748	25152	8429
749	25184	8394
750	25219	8361
751	25252	8327
752	25282	8293
753	25317	8260
754	25348	8225
755	25381	8191
756	25414	8158
757	25444	8123
758	25474	8088
759	25511	8056
760	25553	8025
761	25593	7993
762	25633	7962
763	25670	7929
764	25713	7898
765	25752	7866
766	25787	7833
767	25820	7800
768	25851	7765
769	25884	7731
770	25915	7697
771	25947	7663
772	25978	7628
773	26010	7594
774	26045	7561
775	26077	7527
776	26109	7493
777	26139	7458
778	26173	7425
779	26207	7391
780	26242	7358
781	26276	7325
782	26311	7291
783	26345	7258
784	26383	7226
785	26416	7192
786	26451	7159
787	26482	7124
788	26516	7091
789	26546	7056
790	26575	7021
791	26611	6988
792	26642	6954
793	26676	6921
794	26709	6887
795	26741	6853
796	26773	6819
797	26805	6785
798	26840	6752
799	26873	6718
800	26904	6684
801	26938	6650
802	26970	6616
803	27001	6582
804	27031	6547
805	27063	6514
806	27097	6480
807	27130	6446
808	27167	6413
809	27198	6379
810	27231	6346
811	27265	6312
812	27299	6279
813	27333	6245
814	27370	6212
815	27406	6179
816	27443	6147
817	27481	6114
818	27522	6082
819	27554	6048
820	27588	6015
821	27629	5982
822	27665	5949
823	27699	5916
824	27731	5882
825	27765	5848
826	27799	5815
827	27835	5782
828	27868	5748
829	27906	5715
830	27943	5682
831	27975	5648
832	28009	5615
833	28042	5581
834	28074	5547
835	28107	5513
836	28140	5480
837	28178	5447
838	28211	5413
839	28250	5381
840	28282	5347
841	28312	5312
842	28340	5278
843	28373	5244
844	28405	5210
845	28448	5178
846	28483	5145
847	28515	5111
848	28548	5077
849	28578	5043
850	28609	5009
851	28639	4974
852	28670	4940
853	28703	4907
854	28735	4873
855	28767	4839
856	28798	4805
857	28828	4771
858	28861	4737
859	28892	4703
860	28920	4668
861	28956	4635
862	28990	4602
863	29023	4568
864	29058	4535
865	29088	4500
866	29125	4467
867	29163	4434
868	29197	4401
869	29304	4378
870	29357	4347
871	29396	4315
872	29428	4281
873	29461	4247
874	29495	4213
875	29528	4179
876	29561	4146
877	29593	4112
878	29623	4077
879	29654	4043
880	29693	4010
881	29723	3976
882	29754	3942
883	29788	3908
884	29821	3875
885	29853	3841
886	29887	3807
887	29918	3773
888	29950	3739
889	29984	3706
890	30018	3672
891	30048	3638
892	30081	3604
893	30118	3571
894	30150	3537
895	30186	3503
896	30222	3470
897	30258	3436
898	30295	3403
899	30330	3370
900	30365	3336
901	30405	3303
902	30443	3270
903	30487	3237
904	30523	3204
905	30559	3170
906	30595	3137
907	30632	3103
908	30674	3070
909	30714	3037
910	30754	3004
911	30789	2970
912	30821	2936
913	30858	2903
914	30890	2869
915	30927	2836
916	30959	2802
917	30989	2768
918	31019	2734
919	31054	2700
920	31085	2666
921	31117	2632
922	31150	2598
923	31186	2565
924	31226	2531
925	31267	2498
926	31311	2465
927	31353	2432
928	31397	2399
929	31435	2366
930	31472	2332
931	31506	2298
932	31536	2264
933	31565	2230
934	31600	2196
935	31638	2163
936	31669	2129
937	31700	2095
938	31733	2061
939	31769	2027
940	31809	1994
941	31847	1960
942	31887	1927
943	31921	1893
944	31958	1860
945	31992	1826
946	32021	1792
947	32053	1758
948	32085	1724
949	32118	1690
950	32148	1656
951	32183	1622
952	32215	1588
953	32244	1554
954	32281	1521
955	32315	1487
956	32348	1453
957	32381	1419
958	32413	1385
959	32444	1351
960	32473	1317
961	32505	1284
962	32539	1250
963	32572	1216
964	32606	1182
965	32636	1148
966	32667	1114
967	32699	1080
968	32735	1047
969	32773	1013
970	32804	979
971	32839	945
972	32870	912
973	32900	878
974	32931	844
975	32964	810
976	32995	776
977	33027	742
978	33059	709
979	33090	675
980	33120	641
981	33151	607
982	33184	573
983	33217	540
984	33252	506
985	33281	472
986	33313	438
987	33347	405
988	33381	371
989	33419	337
990	33456	303
991	33490	270
992	33527	236
993	33566	202
994	33601	168
995	33632	135
996	33663	101
997	33695	67
998	33732	33
999	33773	0
