iter	MultiRMSE
588	1.836495212
589	1.836312986
590	1.836150328
591	1.835963794
592	1.835802395
593	1.835660579
594	1.835533485
595	1.835256364
596	1.835098197
597	1.834939757
598	1.834817112
599	1.834600057
600	1.834404326
601	1.834315714
602	1.834054466
603	1.833859975
604	1.833689603
605	1.833484778
606	1.833343196
607	1.832930032
608	1.832758045
609	1.832332983
610	1.832127619
611	1.831950211
612	1.831691459
613	1.831475169
614	1.831087269
615	1.830929487
616	1.830762656
617	1.830582039
618	1.830385348
619	1.830188889
620	1.829980606
621	1.829690517
622	1.829555514
623	1.829409175
624	1.829248907
625	1.829093251
626	1.82894381
627	1.828823891
628	1.828659517
629	1.828400209
630	1.828176794
631	1.827958669
632	1.827813049
633	1.827625199
634	1.82744444
635	1.82727667
636	1.827174219
637	1.827048908
638	1.8268656
639	1.826676499
640	1.82645756
641	1.826294188
642	1.826122366
643	1.825943348
644	1.825834824
645	1.825647025
646	1.825484656
647	1.825329212
648	1.825110294
649	1.824950249
650	1.824749484
651	1.824611722
652	1.824327717
653	1.824115041
654	1.82395242
655	1.823838666
656	1.823718239
657	1.823394513
658	1.823255901
659	1.823128495
660	1.822952553
661	1.822774356
662	1.822525707
663	1.822434584
664	1.822196949
665	1.822069695
666	1.821902379
667	1.821796805
668	1.821637968
669	1.821512742
670	1.821381646
671	1.82128009
672	1.821206389
673	1.820968354
674	1.820729115
675	1.820571676
676	1.820405901
677	1.820287739
678	1.819955692
679	1.81972196
680	1.819252294
681	1.819036828
682	1.818893095
683	1.8187082
684	1.818514511
685	1.818370435
686	1.818211464
687	1.818040532
688	1.817768965
689	1.817641494
690	1.817523985
691	1.817098486
692	1.817010884
693	1.816692679
694	1.81657756
695	1.816428244
696	1.816276004
697	1.816144289
698	1.81595726
699	1.81580436
700	1.815528881
701	1.815501127
702	1.815323953
703	1.815075698
704	1.814761978
705	1.814621454
706	1.814507625
707	1.814383663
708	1.814256431
709	1.814005693
710	1.813847019
711	1.813683956
712	1.813542479
713	1.81343848
714	1.813146095
715	1.81304046
716	1.812872981
717	1.812750782
718	1.812570875
719	1.812325516
720	1.812166103
721	1.811955852
722	1.811743048
723	1.811503912
724	1.811298615
725	1.811069241
726	1.810921393
727	1.810769861
728	1.81068186
729	1.81054437
730	1.810402461
731	1.810157432
732	1.809915794
733	1.809761442
734	1.809638406
735	1.809533946
736	1.809398637
737	1.809051101
738	1.80880935
739	1.808429177
740	1.808307314
741	1.808082822
742	1.807962026
743	1.807667213
744	1.807521129
745	1.807406632
746	1.807313529
747	1.807143332
748	1.806972104
749	1.806866847
750	1.806804697
751	1.806691427
752	1.806538821
753	1.806412882
754	1.806285059
755	1.806185818
756	1.805954849
757	1.805714532
758	1.805588528
759	1.80552471
760	1.805423666
761	1.805129624
762	1.804875092
763	1.804669451
764	1.804606252
765	1.80446295
766	1.804272402
767	1.803975109
768	1.803821417
769	1.803651198
770	1.803543723
771	1.803383126
772	1.803286826
773	1.803141259
774	1.802996545
775	1.802862539
776	1.802713835
777	1.802618294
778	1.802435703
779	1.802321141
780	1.802184167
781	1.802067152
782	1.801922249
783	1.801713653
784	1.801603182
785	1.801392777
786	1.800995695
787	1.800867575
788	1.800773148
789	1.800651216
790	1.800446226
791	1.800277459
792	1.800144551
793	1.800004093
794	1.799952341
795	1.799829921
796	1.799512636
797	1.799265907
798	1.79913485
799	1.799051333
800	1.798925065
801	1.798840436
802	1.798759154
803	1.798669025
804	1.798522265
805	1.798351171
806	1.798273877
807	1.798093599
808	1.797865075
809	1.79765386
810	1.797395119
811	1.797232023
812	1.796977584
813	1.796848203
814	1.796669499
815	1.796502271
816	1.796282911
817	1.796094347
818	1.795816486
819	1.795602777
820	1.795434283
821	1.795267212
822	1.795166154
823	1.794983803
824	1.794830074
825	1.79466324
826	1.794328232
827	1.794223759
828	1.794046037
829	1.793961293
830	1.793815362
831	1.79373177
832	1.793475361
833	1.793331762
834	1.793120595
835	1.79294612
836	1.792813461
837	1.792775385
838	1.79265019
839	1.792598422
840	1.792401611
841	1.792336258
842	1.792182152
843	1.792065222
844	1.791975865
845	1.791830995
846	1.791657115
847	1.791470524
848	1.791273908
849	1.791152168
850	1.79099621
851	1.790880836
852	1.790676989
853	1.790607364
854	1.790333501
855	1.790254822
856	1.790137996
857	1.790066477
